Energy (keV),Cross Section (B),E err low (keV),E err high (keV),xsec err low (B),xsec err high (B)
6.953612988160750774e+01,1.480186391286524517e+00,7.879747654611128915e-01,8.016006917903578666e-01,3.831898354408931617e-02,4.626975935829525516e-02
6.797349918128836066e+01,8.365241839633921206e-01,7.616355960249348023e-01,7.746559348580339677e-01,1.952438510776302247e-02,4.459224266165280615e-02
6.646295815148550901e+01,5.064455007795407582e-01,7.364574089869856399e-01,7.489054337779235127e-01,1.538599391735309685e-02,2.384810408904777801e-02
6.500221699434760581e+01,3.134638231492543614e-01,7.123769327639311033e-01,7.242837481509195596e-01,1.407684881708965927e-02,2.059188915587679275e-02
6.358911036935710115e+01,1.959112434187963159e-01,6.893349898762098915e-01,7.007296922265741079e-01,1.391718775015196759e-02,1.883262785056782213e-02
6.222158936087218706e+01,1.244515093790102833e-01,6.672761894106515879e-01,6.781860186086996478e-01,1.344643606566774119e-02,1.838430971512073492e-02
6.089771404698240787e+01,9.589164723358743758e-02,6.461486490900715252e-01,6.565991244791293813e-01,1.340279145651074831e-02,1.695643620405303670e-02
5.961564661463403070e+01,6.317647242464277668e-02,6.259037369420402674e-01,6.359187832583047539e-01,1.374591452142927099e-02,1.667617087853049199e-02
5.837364497786556683e+01,4.925941371970105065e-02,6.064958379874370031e-01,6.160978998264253770e-01,1.392330367321959785e-02,1.834967736530173504e-02
5.717005685536857840e+01,3.894931029958471208e-02,5.878821367750715066e-01,5.970922845095483211e-01,1.341391626228361292e-02,1.788910469866501068e-02
5.600331427151172647e+01,3.663353794782372302e-02,5.700224197238130674e-01,5.788604470817808600e-01,1.374707685610042016e-02,1.681328072590244568e-02
5.487192844725963425e+01,3.388854785110358842e-02,5.528788918511854389e-01,5.613634045282814844e-01,1.421212153454111220e-02,1.956869734113012016e-02
5.377448504762649861e+01,4.084772566605684302e-02,5.364160095564511899e-01,5.445645077819499802e-01,1.397006216918626233e-02,2.237660643839356131e-02
5.270963975793407741e+01,5.571328770460334812e-02,5.206003248712149922e-01,5.284292801359697922e-01,1.389114315446713342e-02,1.957292920931968938e-02
5.167611416656448142e+01,5.366886322400887116e-02,5.054003430540251474e-01,5.129252664983796617e-01,1.384179385438743040e-02,1.878470013409846290e-02
5.067269192334977390e+01,7.010223963397463343e-02,4.907863908183426327e-01,4.980219001606819851e-01,1.408189238570973362e-02,1.786961433029249716e-02
4.969821516108851966e+01,6.846512746114467862e-02,4.767304954027568042e-01,4.836903714429136025e-01,1.383322217690404442e-02,2.173846425488831086e-02
4.875158115162459183e+01,7.910599639733532917e-02,4.632062698959343860e-01,4.699035140611740879e-01,1.384691669285775285e-02,2.063350611823265568e-02
4.783173918564642690e+01,1.036703810357963718e-01,4.501888116972259102e-01,4.566356960822304245e-01,1.317601044478874939e-02,1.957680667375356551e-02
4.693768765452266223e+01,9.184414022123600641e-02,4.376546038962187413e-01,4.438627194265354903e-01,1.385417284287234277e-02,1.829680174368759557e-02
4.606847132333214034e+01,1.078473724008293111e-01,4.255814281197672355e-01,4.315617272943054750e-01,1.477817720363736910e-02,1.842096941937875279e-02
4.522317877736581693e+01,1.213645815783051807e-01,4.139482796725642566e-01,4.197111178465565695e-01,1.439480763790685312e-02,1.833595764537693587e-02
4.440094003209260620e+01,1.376242099945080566e-01,4.027352931026398353e-01,4.082904656006430821e-01,1.480142245290184261e-02,1.934639417294525821e-02
4.360092429345363740e+01,1.503812478831425825e-01,3.919236683924754994e-01,3.972804455363293519e-01,1.380027102981329357e-02,2.390074846647262385e-02
4.282233785764289280e+01,1.396840372394399510e-01,3.814956067409511764e-01,3.866627674182673280e-01,1.451344746770035291e-02,2.054165150294015585e-02
