#E,eV        Sig,b        Interpolation
 1004.38     1.36802      Lin-Lin
 1084.86     1.36405      Lin-Lin
 1159.91     1.36035      Lin-Lin
 1252.79     1.35579      Lin-Lin
 1366.67     1.35019      Lin-Lin
 1484.16     1.34443      Lin-Lin
 1611.78     1.33817      Lin-Lin
 1728.73     1.33244      Lin-Lin
 1777.62     1.33004      Lin-Lin
 1827.9      1.328        Lin-Lin
 1960.53     1.32262      Lin-Lin
 2122.46     1.31606      Lin-Lin
 2308.58     1.30852      Lin-Lin
 2495.89     1.30094      Lin-Lin
 2696.88     1.2928       Lin-Lin
 2895.55     1.28477      Lin-Lin
 3118.79     1.27574      Lin-Lin
 3291.11     1.26878      Lin-Lin
 3314.17     1.26798      Lin-Lin
 3529.91     1.26054      Lin-Lin
 3732.9      1.25354      Lin-Lin
 3772.85     1.25216      Lin-Lin
 3941.99     1.24633      Lin-Lin
 4092.23     1.24116      Lin-Lin
 4232.62     1.23633      Lin-Lin
 4333.74     1.23285      Lin-Lin
 4438.41     1.22926      Lin-Lin
 4529.03     1.22615      Lin-Lin
 4606.9      1.22348      Lin-Lin
 4641.5      1.2223       Lin-Lin
 4676.11     1.22156      Lin-Lin
 4759.63     1.21979      Lin-Lin
 4814.54     1.21863      Lin-Lin
 4866.45     1.21753      Lin-Lin
 4918.36     1.21644      Lin-Lin
 4970.27     1.21536      Lin-Lin
 5004.88     1.21464      Lin-Lin
 5039.49     1.21392      Lin-Lin
 5074.1      1.21321      Lin-Lin
 5108.7      1.2125       Lin-Lin
 5143.31     1.2124       Lin-Lin
 5160.62     1.21235      Lin-Lin
 5177.92     1.21268      Lin-Lin
 5203.87     1.21319      Lin-Lin
 5229.83     1.21369      Lin-Lin
 5255.79     1.2142       Lin-Lin
 5281.74     1.21472      Lin-Lin
 5307.7      1.21525      Lin-Lin
 5325        1.21561      Lin-Lin
 5333.65     1.21579      Lin-Lin
 5342.3      1.21645      Lin-Lin
 5359.61     1.21779      Lin-Lin
 5376.91     1.21913      Lin-Lin
 5394.22     1.22048      Lin-Lin
 5411.52     1.22183      Lin-Lin
 5420.17     1.22251      Lin-Lin
 5437.48     1.22388      Lin-Lin
 5437.48     1.22388      Lin-Lin
 5454.78     1.22672      Lin-Lin
 5474.25     1.22993      Lin-Lin
 5487.22     1.23207      Lin-Lin
 5500.2      1.23423      Lin-Lin
 5511.02     1.23604      Lin-Lin
 5513.18     1.23666      Lin-Lin
 5526.16     1.24039      Lin-Lin
 5539.14     1.24413      Lin-Lin
 5552.11     1.24789      Lin-Lin
 5562.93     1.25104      Lin-Lin
 5565.09     1.25201      Lin-Lin
 5578.07     1.25781      Lin-Lin
 5587.8      1.26219      Lin-Lin
 5597.54     1.26657      Lin-Lin
 5601.86     1.26853      Lin-Lin
 5607.27     1.27194      Lin-Lin
 5617        1.27809      Lin-Lin
 5626.74     1.28426      Lin-Lin
 5627.82     1.28495      Lin-Lin
 5636.47     1.29232      Lin-Lin
 5646.2      1.30064      Lin-Lin
 5653.77     1.30715      Lin-Lin
 5655.94     1.30969      Lin-Lin
 5662.42     1.31734      Lin-Lin
 5672.16     1.32886      Lin-Lin
 5678.65     1.33658      Lin-Lin
 5679.73     1.33787      Lin-Lin
 5685.14     1.34658      Lin-Lin
 5691.62     1.35708      Lin-Lin
 5698.11     1.36761      Lin-Lin
 5699.19     1.36937      Lin-Lin
 5704.6      1.38047      Lin-Lin
 5711.09     1.39385      Lin-Lin
 5712.17     1.39608      Lin-Lin
 5717.58     1.40976      Lin-Lin
 5724.07     1.42622      Lin-Lin
 5725.15     1.42898      Lin-Lin
 5730.56     1.44605      Lin-Lin
 5735.42     1.46147      Lin-Lin
 5738.13     1.47007      Lin-Lin
 5740.29     1.47846      Lin-Lin
 5745.16     1.4974       Lin-Lin
